id,station,date,prcp,tobs
6393,USC00514830,2013-06-20,0.01,71.0
6394,USC00514830,2013-06-25,,74.0
6395,USC00514830,2013-06-26,0.17,72.0
6396,USC00514830,2013-06-27,0.0,77.0
6656,USC00514830,2014-06-01,,77.0
6657,USC00514830,2014-06-02,0.02,78.0
6658,USC00514830,2014-06-03,0.0,77.0
6659,USC00514830,2014-06-04,0.0,77.0
6660,USC00514830,2014-06-05,0.0,76.0
6661,USC00514830,2014-06-06,0.13,75.0
6662,USC00514830,2014-06-07,0.04,79.0
6663,USC00514830,2014-06-09,,75.0
6664,USC00514830,2014-06-10,0.16,73.0
6665,USC00514830,2014-06-11,0.17,76.0
6666,USC00514830,2014-06-12,0.0,78.0
6667,USC00514830,2014-06-13,0.0,77.0
6668,USC00514830,2014-06-14,0.0,78.0
6669,USC00514830,2014-06-16,,76.0
6670,USC00514830,2014-06-17,0.39,75.0
6671,USC00514830,2014-06-18,0.08,76.0
6672,USC00514830,2014-06-19,0.14,77.0
6673,USC00514830,2014-06-20,0.07,74.0
6674,USC00514830,2014-06-21,0.11,78.0
6675,USC00514830,2014-06-23,,77.0
6676,USC00514830,2014-06-24,0.03,77.0
6677,USC00514830,2014-06-25,0.1,74.0
6678,USC00514830,2014-06-26,0.08,74.0
6679,USC00514830,2014-06-27,0.08,78.0
6680,USC00514830,2014-06-29,,79.0
6681,USC00514830,2014-06-30,0.04,79.0
6951,USC00514830,2015-06-01,0.05,78.0
6952,USC00514830,2015-06-03,0.0,75.0
6953,USC00514830,2015-06-04,0.22,76.0
6954,USC00514830,2015-06-05,0.0,78.0
6955,USC00514830,2015-06-06,0.0,78.0
6956,USC00514830,2015-06-08,,74.0
